"id","parent_id:id","code","name"
"nace_10_609999999999999","nace_10_6","10.609999999999999","Manufacture of grain mill products"
"nace_10_619999999999999","nace_10_6","10.619999999999999","Manufacture of starches and starch products"
"nace_10_699999999999999","nace_10","10.699999999999999","Manufacture of bakery and farinaceous products"
"nace_10_710000000000001","nace_10_699999999999999","10.710000000000001","Manufacture of bread; manufacture of fresh pastry goods and cakes"
"nace_10_720000000000001","nace_10_699999999999999","10.720000000000001","Manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes"
"nace_10_73","nace_10_699999999999999","10.73","Manufacture of macaroni, noodles, couscous and similar farinaceous products"
"nace_10_800000000000001","nace_10","10.800000000000001","Manufacture of other food products"
"nace_10_81","nace_10_800000000000001","10.81","Manufacture of sugar"
"nace_10_82","nace_10_800000000000001","10.82","Manufacture of cocoa, chocolate and sugar confectionery"
"nace_10_83","nace_10_800000000000001","10.83","Processing of tea and coffee"
"nace_10_84","nace_10_800000000000001","10.84","Manufacture of condiments and seasonings"
"nace_10_85","nace_10_800000000000001","10.85","Manufacture of prepared meals and dishes"
"nace_10_859999999999999","nace_10_800000000000001","10.859999999999999","Manufacture of homogenised food preparations and dietetic food"
"nace_10_890000000000001","nace_10_800000000000001","10.890000000000001","Manufacture of other food products n.e.c."
"nace_10_9","nace_10","10.9","Manufacture of prepared animal feeds"
"nace_10_91","nace_10_9","10.91","Manufacture of prepared feeds for farm animals"
"nace_10_92","nace_10_9","10.92","Manufacture of prepared pet foods"
"nace_11","nace_C","11","Manufacture of beverages"
"nace_11","nace_11","11","Manufacture of beverages"
"nace_11_01","nace_11","11.01","Distilling, rectifying and blending of spirits"
"nace_11_02","nace_11","11.02","Manufacture of wine from grape"
"nace_11_029999999999999","nace_11","11.029999999999999","Manufacture of cider and other fruit wines"
"nace_11_039999999999999","nace_11","11.039999999999999","Manufacture of other non-distilled fermented beverages"
"nace_11_050000000000001","nace_11","11.050000000000001","Manufacture of beer"
"nace_11_06","nace_11","11.06","Manufacture of malt"
"nace_11_07","nace_11","11.07","Manufacture of soft drinks; production of mineral waters and other bottled waters"
"nace_12","nace_C","12","Manufacture of tobacco products"
"nace_12","nace_12","12","Manufacture of tobacco products"
"nace_12","nace_12","12","Manufacture of tobacco products"
"nace_13","nace_C","13","Manufacture of textiles"
"nace_13_1","nace_13","13.1","Preparation and spinning of textile fibres"
"nace_13_1","nace_13_1","13.1","Preparation and spinning of textile fibres"
"nace_13_199999999999999","nace_13","13.199999999999999","Weaving of textiles"
"nace_13_199999999999999","nace_13_199999999999999","13.199999999999999","Weaving of textiles"
"nace_13_300000000000001","nace_13","13.300000000000001","Finishing of textiles"
"nace_13_300000000000001","nace_13_300000000000001","13.300000000000001","Finishing of textiles"
"nace_13_9","nace_13","13.9","Manufacture of other textiles"
"nace_13_91","nace_13_9","13.91","Manufacture of knitted and crocheted fabrics"
"nace_13_92","nace_13_9","13.92","Manufacture of made-up textile articles, except apparel"
"nace_13_93","nace_13_9","13.93","Manufacture of carpets and rugs"
"nace_13_94","nace_13_9","13.94","Manufacture of cordage, rope, twine and netting"
"nace_13_949999999999999","nace_13_9","13.949999999999999","Manufacture of non-wovens and articles made from non-wovens, except apparel"
"nace_13_960000000000001","nace_13_9","13.960000000000001","Manufacture of other technical and industrial textiles"
"nace_13_99","nace_13_9","13.99","Manufacture of other textiles n.e.c."
"nace_14","nace_C","14","Manufacture of wearing apparel"
"nace_14_1","nace_14","14.1","Manufacture of wearing apparel, except fur apparel"
"nace_14_109999999999999","nace_14_1","14.109999999999999","Manufacture of leather clothes"
"nace_14_119999999999999","nace_14_1","14.119999999999999","Manufacture of workwear"
"nace_14_130000000000001","nace_14_1","14.130000000000001","Manufacture of other outerwear"
"nace_14_140000000000001","nace_14_1","14.140000000000001","Manufacture of underwear"
"nace_14_19","nace_14_1","14.19","Manufacture of other wearing apparel and accessories"
"nace_14_199999999999999","nace_14","14.199999999999999","Manufacture of articles of fur"
"nace_14_199999999999999","nace_14_199999999999999","14.199999999999999","Manufacture of articles of fur"
"nace_14_300000000000001","nace_14","14.300000000000001","Manufacture of knitted and crocheted apparel"
"nace_14_31","nace_14_300000000000001","14.31","Manufacture of knitted and crocheted hosiery"
"nace_14_390000000000001","nace_14_300000000000001","14.390000000000001","Manufacture of other knitted and crocheted apparel"
"nace_15","nace_C","15","Manufacture of leather and related products"
"nace_15_1","nace_15","15.1","Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur"
"nace_15_109999999999999","nace_15_1","15.109999999999999","Tanning and dressing of leather; dressing and dyeing of fur"
"nace_15_119999999999999","nace_15_1","15.119999999999999","Manufacture of luggage, handbags and the like, saddlery and harness"
"nace_15_199999999999999","nace_15","15.199999999999999","Manufacture of footwear"
"nace_15_199999999999999","nace_15_199999999999999","15.199999999999999","Manufacture of footwear"
"nace_16","nace_C","16","Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials"
"nace_16_100000000000001","nace_16","16.100000000000001","Sawmilling and planing of wood"
"nace_16_100000000000001","nace_16_100000000000001","16.100000000000001","Sawmilling and planing of wood"
"nace_16_199999999999999","nace_16","16.199999999999999","Manufacture of products of wood, cork, straw and plaiting materials"
"nace_16_210000000000001","nace_16_199999999999999","16.210000000000001","Manufacture of veneer sheets and wood-based panels"
"nace_16_219999999999999","nace_16_199999999999999","16.219999999999999","Manufacture of assembled parquet floors"
"nace_16_23","nace_16_199999999999999","16.23","Manufacture of other builders' carpentry and joinery"
"nace_16_239999999999998","nace_16_199999999999999","16.239999999999998","Manufacture of wooden containers"
"nace_16_289999999999999","nace_16_199999999999999","16.289999999999999","Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials"
"nace_17","nace_C","17","Manufacture of paper and paper products"
"nace_17_100000000000001","nace_17","17.100000000000001","Manufacture of pulp, paper and paperboard"
"nace_17_109999999999999","nace_17_100000000000001","17.109999999999999","Manufacture of pulp"
"nace_17_120000000000001","nace_17_100000000000001","17.120000000000001","Manufacture of paper and paperboard"
"nace_17_199999999999999","nace_17","17.199999999999999","Manufacture of articles of paper and paperboard "
"nace_17_210000000000001","nace_17_199999999999999","17.210000000000001","Manufacture of corrugated paper and paperboard and of containers of paper and paperboard"
"nace_17_219999999999999","nace_17_199999999999999","17.219999999999999","Manufacture of household and sanitary goods and of toilet requisites"
"nace_17_23","nace_17_199999999999999","17.23","Manufacture of paper stationery"
"nace_17_239999999999998","nace_17_199999999999999","17.239999999999998","Manufacture of wallpaper"
"nace_17_289999999999999","nace_17_199999999999999","17.289999999999999","Manufacture of other articles of paper and paperboard"
"nace_18","nace_C","18","Printing and reproduction of recorded media"
"nace_18_100000000000001","nace_18","18.100000000000001","Printing and service activities related to printing"
"nace_18_109999999999999","nace_18_100000000000001","18.109999999999999","Printing of newspapers"
"nace_18_120000000000001","nace_18_100000000000001","18.120000000000001","Other printing"
"nace_18_129999999999999","nace_18_100000000000001","18.129999999999999","Pre-press and pre-media services"
"nace_18_140000000000001","nace_18_100000000000001","18.140000000000001","Binding and related services"
"nace_18_199999999999999","nace_18","18.199999999999999","Reproduction of recorded media"
"nace_18_199999999999999","nace_18_199999999999999","18.199999999999999","Reproduction of recorded media"
"nace_19","nace_C","19","Manufacture of coke and refined petroleum products"
"nace_19_100000000000001","nace_19","19.100000000000001","Manufacture of coke oven products"
"nace_19_100000000000001","nace_19_100000000000001","19.100000000000001","Manufacture of coke oven products"
"nace_19_199999999999999","nace_19","19.199999999999999","Manufacture of refined petroleum products"
"nace_19_199999999999999","nace_19_199999999999999","19.199999999999999","Manufacture of refined petroleum products"
"nace_20","nace_C","20","Manufacture of chemicals and chemical products"
"nace_20_100000000000001","nace_20","20.100000000000001","Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms"
"nace_20_109999999999999","nace_20_100000000000001","20.109999999999999","Manufacture of industrial gases"
"nace_20_120000000000001","nace_20_100000000000001","20.120000000000001","Manufacture of dyes and pigments"
"nace_20_129999999999999","nace_20_100000000000001","20.129999999999999","Manufacture of other inorganic basic chemicals"
"nace_20_140000000000001","nace_20_100000000000001","20.140000000000001","Manufacture of other organic basic chemicals"
"nace_20_149999999999999","nace_20_100000000000001","20.149999999999999","Manufacture of fertilisers and nitrogen compounds"
"nace_20_16","nace_20_100000000000001","20.16","Manufacture of plastics in primary forms"
"nace_20_170000000000002","nace_20_100000000000001","20.170000000000002","Manufacture of synthetic rubber in primary forms"
"nace_20_199999999999999","nace_20","20.199999999999999","Manufacture of pesticides and other agrochemical products"
"nace_20_199999999999999","nace_20_199999999999999","20.199999999999999","Manufacture of pesticides and other agrochemical products"
"nace_20_300000000000001","nace_20","20.300000000000001","Manufacture of paints, varnishes and similar coatings, printing ink and mastics"
"nace_20_300000000000001","nace_20_300000000000001","20.300000000000001","Manufacture of paints, varnishes and similar coatings, printing ink and mastics"
"nace_20_399999999999999","nace_20","20.399999999999999","Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations"
"nace_20_41","nace_20_399999999999999","20.41","Manufacture of soap and detergents, cleaning and polishing preparations"
"nace_20_420000000000002","nace_20_399999999999999","20.420000000000002","Manufacture of perfumes and toilet preparations"
"nace_20_5","nace_20","20.5","Manufacture of other chemical products"
"nace_20_510000000000002","nace_20_5","20.510000000000002","Manufacture of explosives"
"nace_20_52","nace_20_5","20.52","Manufacture of glues"
"nace_20_530000000000001","nace_20_5","20.530000000000001","Manufacture of essential oils"
"nace_20_59","nace_20_5","20.59","Manufacture of other chemical products n.e.c."
"nace_20_600000000000001","nace_20","20.600000000000001","Manufacture of man-made fibres"
"nace_20_600000000000001","nace_20_600000000000001","20.600000000000001","Manufacture of man-made fibres"
"nace_21","nace_C","21","Manufacture of basic pharmaceutical products and pharmaceutical preparations"
"nace_21_100000000000001","nace_21","21.100000000000001","Manufacture of basic pharmaceutical products"
"nace_21_100000000000001","nace_21_100000000000001","21.100000000000001","Manufacture of basic pharmaceutical products"
"nace_21_199999999999999","nace_21","21.199999999999999","Manufacture of pharmaceutical preparations"
"nace_21_199999999999999","nace_21_199999999999999","21.199999999999999","Manufacture of pharmaceutical preparations"
"nace_22","nace_C","22","Manufacture of rubber and plastic products"
"nace_22_100000000000001","nace_22","22.100000000000001","Manufacture of rubber products"
"nace_22_109999999999999","nace_22_100000000000001","22.109999999999999","Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres"
"nace_22_190000000000001","nace_22_100000000000001","22.190000000000001","Manufacture of other rubber products"
"nace_22_199999999999999","nace_22","22.199999999999999","Manufacture of plastic products"
"nace_22_210000000000001","nace_22_199999999999999","22.210000000000001","Manufacture of plastic plates, sheets, tubes and profiles"
"nace_22_219999999999999","nace_22_199999999999999","22.219999999999999","Manufacture of plastic packing goods"
"nace_22_23","nace_22_199999999999999","22.23","Manufacture of builders’ ware of plastic"
"nace_22_289999999999999","nace_22_199999999999999","22.289999999999999","Manufacture of other plastic products"
"nace_23","nace_C","23","Manufacture of other non-metallic mineral products"
"nace_23_100000000000001","nace_23","23.100000000000001","Manufacture of glass and glass products"
"nace_23_109999999999999","nace_23_100000000000001","23.109999999999999","Manufacture of flat glass"
"nace_23_120000000000001","nace_23_100000000000001","23.120000000000001","Shaping and processing of flat glass"
"nace_23_129999999999999","nace_23_100000000000001","23.129999999999999","Manufacture of hollow glass"
"nace_23_140000000000001","nace_23_100000000000001","23.140000000000001","Manufacture of glass fibres"
"nace_23_190000000000001","nace_23_100000000000001","23.190000000000001","Manufacture and processing of other glass, including technical glassware"
"nace_23_199999999999999","nace_23","23.199999999999999","Manufacture of refractory products"
"nace_23_199999999999999","nace_23_199999999999999","23.199999999999999","Manufacture of refractory products"
"nace_23_300000000000001","nace_23","23.300000000000001","Manufacture of clay building materials"
"nace_23_309999999999999","nace_23_300000000000001","23.309999999999999","Manufacture of ceramic tiles and flags"
